,Experiment,AIMNET,ATX,ATXclean,MOMOL_AM1,MOMOL_MNDOD,MOMOL_MNDO,MOMOL_PM3,MOMOL_PM6,MOMOL_PM7,MPC_AM1,MPC_MNDOD,MPC_MNDO,MPC_PM3,MPC_PM6,MPC_PM7,NWChem,PySCF,w06-2x+def2-TZVPP,wB97x+def2-TZVPP(partial)
POLCUAVZOMRGSN-UHFFFAOYSA-N,5.195,0.12356713,0.065693834,0.065693834,0.10520301,0.08693322,0.086957686,0.08525701,0.16936745,0.15455087,0.02984391,0.03699575,0.03699627,0.02405002,0.04768752,0.04417642,0.058333,0.069618213,0.059778,
PPBRXRYQALVLMV-UHFFFAOYSA-N,2.462,0.11458648,0.039625433,0.039625433,0.121070415,0.05498837,0.054989155,0.09711566,0.12872258,0.13515092,0.03846304,0.02291879,0.02291945,0.03233223,0.03883271,0.04037752,0.0289,0.028607596,0.027948,
PPMDSXRMQXBCJW-UHFFFAOYSA-N,9.098,,0.086728029,0.086728029,0.24451439,0.1524093,0.19384614,0.18199523,0.2333405,0.17569405,0.07486716,,0.06833939,0.05233018,,,0.084878,0.091453874,0.088915,
PSHKMPUSSFXUIA-UHFFFAOYSA-N,6.639,0.1304945,0.059459855,0.059459855,0.13155188,0.089648925,0.08958299,0.10968043,0.14548409,0.16319185,0.04217196,0.03805435,0.03804906,0.03595825,0.05180919,0.05310976,0.058016,,0.060391,
PSXLJUKMMIHADB-UHFFFAOYSA-N,7.179,0.17887972,0.07277532,0.07277532,0.1246973,0.112695284,0.112696044,0.12547037,0.16057332,0.15588418,0.03830439,0.0436485,0.04364973,0.03612578,0.044732,0.04236984,0.069804,0.080867682,0.071902,
PTTPXKJBFFKCEK-UHFFFAOYSA-N,5.439,0.16402553,0.063175622,0.063175622,0.10643454,0.096564144,0.0951716,0.10288335,0.1582556,0.15236762,0.03117019,0.0379309,0.03800227,0.02915073,0.04580932,0.04113548,0.061495,0.076020909,0.062885,
PVMNPAUTCMBOMO-UHFFFAOYSA-N,6.483,0.11596221,0.054333916,0.054333916,0.10142939,0.054171346,0.048987634,0.098568395,0.09472291,0.10569295,0.03119867,,0.03339503,0.03880859,,,0.062546,0.033783661,0.062183,
PWRBCZZQRRPXAB-UHFFFAOYSA-N,5.972,0.108840294,0.052987914,0.052987914,0.10180878,0.053186234,0.049121205,0.09848238,0.09620666,0.10742648,0.03270223,,0.03393069,0.03902457,,,0.061421,0.046734375,0.060795,
PWXRDOSRCIGJDM-UHFFFAOYSA-N,3.502,0.10663875,0.038251502,0.038251502,0.046104047,0.022478556,0.021400299,0.041915104,0.083888784,0.07805447,0.02809938,,0.01827775,0.03085527,,,0.048627,0.05190382,0.044052,
PYLWMHQQBFSUBP-UHFFFAOYSA-N,1.648,0.08396897,0.030896506,0.030896506,0.093296856,0.07010329,0.07010366,0.07210476,0.09565055,0.09633529,0.02890048,0.02994146,0.02994076,0.02170153,0.03118716,0.03008932,0.027218,0.03159827,0.029572,
PYOKUURKVVELLB-UHFFFAOYSA-N,4.284,0.15789892,0.065955332,0.065955332,0.16211097,0.12453398,0.12451843,0.13730371,0.1376896,0.1267291,0.05941402,0.0553604,0.05529467,0.04179014,0.04231589,0.04131971,0.062599,0.067890362,0.062064,
QANVSPFERJBPTO-UHFFFAOYSA-N,7.97,0.19625843,0.082424755,0.082424755,0.13666657,0.11082799,0.11089058,0.12880419,0.19200669,0.18657555,0.04323289,0.04381107,0.04385217,0.03889305,0.05714937,0.05349234,0.079362,0.090780963,0.082543,
QARVLSVVCXYDNA-UHFFFAOYSA-N,1.378,,0.028545178,0.028545178,0.12486109,0.05906509,0.048169598,0.08957435,0.09967617,0.11317291,0.03373788,,0.02066983,0.02948062,,,0.023509,0.020532345,0.02096,
QAUUDNIGJSLPSX-UHFFFAOYSA-N,3.8,0.13337317,0.061590765,0.061590765,0.11689725,0.109666914,0.10921757,0.13579763,0.13410051,0.1270439,,,,,,,0.058484,0.056210621,0.05786,
QDDLRYYYCREGPC-DTJXOCLSSA-N,6.261,0.1333127,0.092702443,0.092702443,0.12051126,0.09877762,0.098792925,0.110176474,0.19210565,0.16640116,0.004590039,0.01850306,0.0184778,0.00849698,0.02750669,0.01679554,0.059457,,,
QFHAGCRNENPASY-GQCTYLIASA-N,7.705,0.20817785,0.092281348,0.092281348,0.11080994,0.101098,0.101069555,0.09334957,0.13896732,0.15141146,0.04067223,0.03754273,0.03754289,0.04665665,0.05131859,0.05271262,0.090023,0.090370929,0.089179,
QGZKDVFQNNGYKY-UHFFFAOYSA-N,6.794,0.19626802,0.088054176,0.088054176,0.067624345,0.041343804,0.041344468,0.000640036,0.10438209,0.12200788,0.04160861,0.03779565,0.03779714,0.0304762,0.0519317,0.05535459,0.086212,0.061576037,0.074567,
QJQAMHYHNCADNR-UHFFFAOYSA-N,8.039,0.19755644,0.07623685,0.07623685,0.13332544,0.118004814,0.118527696,0.13305944,0.18263015,0.1793197,0.03979143,0.04677398,0.04858316,0.03964729,0.05162795,0.05109062,0.076216,,0.077918,
QKPVEISEHYYHRH-UHFFFAOYSA-N,4.666,0.147973,0.066724117,0.066724117,0.10342699,0.08461659,0.08467174,0.08279751,0.14663517,0.12533157,0.03112855,0.03233725,0.03232995,0.03881268,0.03646412,0.03483216,0.067373,0.081010894,0.067373,
QKZRSIWEFMDUIL-UHFFFAOYSA-N,6.706,0.17508015,0.072229131,0.072229131,0.14703625,0.111234896,0.11068772,0.1352467,0.19209072,0.1919691,0.06194102,0.04812586,0.04805705,0.05468346,0.07216136,0.07186346,0.077398,0.079602505,,
QMMFVYPAHWMCMS-UHFFFAOYSA-N,3.502,0.07445586,0.030636575,0.030636575,0.037412807,0.015196795,0.011902399,0.027437594,0.061686575,0.05469513,0.0247056,,0.01788762,0.0265332,,,0.046787,0.049527628,0.042227,
QPJVMBTYPHYUOC-UHFFFAOYSA-N,5.039,0.16278553,0.062552468,0.062552468,0.11729641,0.117262974,0.117290184,0.118455395,0.15389621,0.14832003,0.03403295,0.04428947,0.04429077,0.03384699,0.0417928,0.03904329,0.061381,0.05951881,0.061551,
QPKDBLGFWZSDSB-UHFFFAOYSA-N,4.899,0.16960576,0.054673298,0.054673298,0.09535849,0.11109939,0.07681324,0.11359824,0.1825754,0.16764458,0.03299354,,0.02836962,0.03849735,,,0.052522,0.052304363,0.048022,
QQZOPKMRPOGIEB-UHFFFAOYSA-N,5.684,0.16096579,0.06554095,0.06554095,0.10712597,0.09384854,0.09387522,0.10450699,0.15885897,0.15257409,0.03452163,0.03919364,0.03919436,0.03205159,0.04529515,0.04146081,0.064247,0.077112097,0.066632,
QRPMWVNREKTPOV-UHFFFAOYSA-N,4.769,0.11964189,0.050043994,0.050043994,0.112995476,0.08459607,0.084617406,0.092766225,0.13310099,0.13314156,0.03921727,0.02503704,0.02503579,0.0369968,0.05199806,0.05367961,0.0414,0.053344313,0.040489,
QSACPWSIIRFHHR-UHFFFAOYSA-N,4.973,0.15385664,0.067127968,0.067127968,0.093978815,0.056096863,0.056041438,0.06467925,0.09889744,0.10604051,0.02810085,0.0293976,0.02939758,0.04073216,0.03707547,0.03751907,0.071291,0.065780714,0.06936,
QSJXEFYPDANLFS-UHFFFAOYSA-N,4.239,0.121171236,0.051958647,0.051958647,0.07808354,0.07152903,0.07158347,0.077699974,0.117017634,0.113054365,0.02294352,0.02868615,0.02868682,0.02286467,0.03138853,0.02934022,0.049898,0.051556889,0.050736,
QSNSCYSYFYORTR-UHFFFAOYSA-N,4.104,0.0847878,0.028426116,0.028426116,0.11338246,0.04948817,0.04584252,0.1142301,0.10406391,0.10845184,0.04589814,,0.03355458,0.0352493,,,0.033499,0.030712167,0.029553,
QTPJMTACJMLPLL-UHFFFAOYSA-N,4.65,,,,0.26278576,0.17468834,0.09929635,0.15004754,0.20412745,0.14098874,0.06685038,,0.04298794,0.03564969,,,,0.05892858,,
QUSNBJAOOMFDIB-UHFFFAOYSA-N,7.883,0.18359847,0.078471815,0.078471815,0.08152065,0.051070686,0.051071204,0.021376658,0.13028197,0.15137742,0.04086846,0.03720451,0.03719705,0.03420041,0.05565817,0.05818691,0.077979,0.077481006,0.070509,
QVSVMNXRLWSNGS-UHFFFAOYSA-N,6.572,0.14081135,0.065829175,0.065829175,0.10053657,0.06969573,0.0696792,0.08337387,0.09414846,0.107704856,0.03404329,0.03521027,0.03521156,0.02821522,0.04502787,0.04857741,0.068269,0.045988649,0.061562,
QVWDCTQRORVHHT-UHFFFAOYSA-N,7.439,0.17096749,0.075925557,0.075925557,0.1170686,0.107231334,0.10719572,0.11698063,0.16937761,0.15920232,0.03546529,0.04382686,0.04382858,0.0346726,0.04664474,0.04100034,0.07575,0.088218328,0.074593,
QWPYVYJPIHGYGX-RZIOALPKSA-N,3.817,0.1641492,0.059813902,0.059813902,0.12408654,0.11189276,0.11204041,0.13939002,0.1408667,0.13619718,0.05604308,0.0496055,0.04960517,0.04435441,0.05771143,0.05704035,,,,
QZVQQUVWFIZUBQ-UHFFFAOYSA-N,3.742,0.09240726,0.032522431,0.032522431,0.09978178,0.07014344,0.070243776,0.086735725,0.09803442,0.09739428,0.03684952,0.03241469,0.03241146,0.02915248,0.04144809,0.04018035,0.033974,0.037564532,0.03542,
RAOIDOHSFRTOEL-UHFFFAOYSA-N,3.342,0.08736473,0.036452083,0.036452083,0.068921916,0.020647248,0.020696018,0.04937616,0.09362176,0.09241322,0.02740994,,0.01709537,0.02998985,,,0.04863,0.048572195,0.043933,
RAXXELZNTBOGNW-UHFFFAOYSA-N,8.55,0.16290803,0.073145177,0.073145177,0.12574506,0.09410611,0.094065964,0.102737814,0.13560873,0.14522067,0.05030052,0.04720686,0.04720916,0.05617079,0.05126191,0.05376834,0.082626,0.095531909,0.081207,
RDHPKYGYEGBMSE-UHFFFAOYSA-N,2.173,,0.024409224,0.024409224,0.034754306,0.03777263,0.04334753,0.048200183,0.06710063,0.05723276,0.008719991,,0.008360342,0.009741541,,,0.028383,0.027296078,0.026852,
RDOWQLZANAYVLL-UHFFFAOYSA-N,7.217,0.12135333,0.063686083,0.063686083,0.117146075,0.0761284,0.07617244,0.09821986,0.11690721,0.13302405,0.0418534,0.03663991,0.03664167,0.03719445,0.04033514,0.04260462,0.067997,0.055815276,0.065736,
RDOXTESZEPMUJZ-UHFFFAOYSA-N,3.295,0.122287005,0.046066149,0.046066149,0.1185524,0.06827619,0.06829189,0.0932775,0.12377323,0.1290097,0.05209088,0.02845672,0.02845691,0.04429281,0.05827484,0.05887706,0.04416,0.058869745,0.043534,
RENMDAKOXSCIGH-UHFFFAOYSA-N,3.928,0.12745161,0.05849804,0.05849804,0.056651063,0.04213901,0.04647605,0.05617268,0.06706198,0.07667276,0.02383956,,0.02110559,0.03595536,,,0.058597,,0.059991,
REYJJPSVUYRZGE-UHFFFAOYSA-N,8.14,0.19333827,0.078271439,0.078271439,0.08019071,0.050482742,0.05051768,0.06462944,0.12455818,0.15017372,0.01077454,0.01762839,0.01761519,0.01908803,0.02913464,0.03201563,0.077593,,,
RFFFKMOABOFIDF-UHFFFAOYSA-N,5.15,0.16298491,0.073231041,0.073231041,0.06790604,0.052213185,0.05216847,0.066169366,0.098535046,0.10952371,0.02444598,0.02835437,0.0283536,0.0407844,0.03776546,0.03926287,0.071963,,0.071562,
RFVHVYKVRGKLNK-UHFFFAOYSA-N,6.372,0.17254591,0.073349291,0.073349291,0.107739195,0.09576463,0.09560034,0.1051695,0.16190007,0.14769243,0.04754722,0.04165566,0.04166848,0.04331552,0.05886012,0.05653181,0.071185,,,
RGTLAJIDOSPEDH-UHFFFAOYSA-N,5.084,0.1467577,0.057347117,0.057347117,0.12006605,0.08948386,0.10345584,0.08874794,0.15993561,0.14230327,0.03406371,,0.02689506,0.03609665,,,0.060782,,0.057158,
RGUKYNXWOWSRET-UHFFFAOYSA-N,9.572,0.16013694,0.074205158,0.074205158,0.13480441,0.08317205,0.083193354,0.11171685,0.1511237,0.15891047,0.04759994,0.04535285,0.04535509,0.04566445,0.05594439,0.05756961,0.084201,,0.083217,
RGWHHWWMFUXNAX-ICWSVDNISA-N,5.661,0.15261841,0.069277773,0.069277773,0.111514285,0.09946304,0.099497534,0.10909407,0.17009628,0.1594965,0.01530027,0.03004892,0.03004337,0.01366735,0.03376361,0.0270197,0.064843,0.059845327,,
RGXUCUWVGKLACF-UHFFFAOYSA-N,7.439,0.15294738,0.070812454,0.070812454,0.13326956,0.06447699,0.0644547,0.11157225,0.13149555,0.13979849,0.03726729,0.03873638,0.03874039,0.03144198,0.04933777,0.05286327,0.072665,0.065960713,0.066048,
RHMPLDJJXGPMEX-UHFFFAOYSA-N,2.781,0.10389581,0.040729449,0.040729449,0.077867344,0.0705553,0.07055573,0.0616621,0.08787109,0.086748816,0.02892543,0.03012302,0.03012289,0.02232321,0.03087975,0.03112757,0.04417,0.044091854,0.041916,
RHQDFWAXVIIEBN-UHFFFAOYSA-N,2.472,0.112036824,0.049212737,0.049212737,0.056057896,0.06788385,0.06787555,0.04512552,0.09679906,0.09473947,0.02414638,0.02754587,0.0275467,0.01993458,0.03776852,0.03056007,0.049846,0.054384615,0.045574,
RIFKADJTWUGDOV-UHFFFAOYSA-N,5.817,0.16284606,0.066610908,0.066610908,0.10796335,0.09400038,0.09414997,0.10486935,0.16161832,0.15527162,0.03394572,0.03895125,0.03896632,0.0318673,0.04659627,0.04205728,0.065745,,0.067827,
RIOQSEWOXXDEQQ-UHFFFAOYSA-N,5.52,,0.040035657,0.040035657,0.16682145,0.08997035,0.08273741,0.13631147,0.15339506,0.20563628,0.05489717,,0.03177903,0.04205974,,,0.047305,0.045276005,,
RJGDLRCDCYRQOQ-UHFFFAOYSA-N,5.639,0.15820898,0.066726677,0.066726677,0.105954275,0.09950094,0.09957137,0.10113441,0.15482533,0.14096852,0.03520959,0.03947799,0.03947889,0.02790114,0.04187739,0.03873536,0.066284,0.073337767,0.066014,
RJSZFWIUDNOVNP-UHFFFAOYSA-N,5.928,0.18349408,0.064922481,0.064922481,0.11245433,0.09482275,0.072395965,0.119668484,0.20457333,0.18613824,0.03973487,,0.03063861,0.04040057,,,0.063035,,0.057271,
RKSOPLXZQNSWAS-UHFFFAOYSA-N,2.34,,0.024494563,0.024494563,0.03980425,0.044733196,0.049619775,0.061973274,0.10016941,0.080432475,0.009927089,,0.008387562,0.01056499,,,0.031586,0.030557701,0.029146,
RLSSMJSEOOYNOY-UHFFFAOYSA-N,3.09,0.12274365,0.046162221,0.046162221,0.11432814,0.05397025,0.054016016,0.092243396,0.10752051,0.11249153,0.03479811,0.02730007,0.02730019,0.02942986,0.04057143,0.03938438,0.049557,,0.047974,
RLVGHTRVYWUWSH-UHFFFAOYSA-N,7.728,0.1852197,0.078287182,0.078287182,0.13765699,0.10307678,0.10301031,0.12612028,0.19883126,0.1958194,0.04111691,0.03951558,0.03949782,0.0359189,0.05671393,0.05560688,0.075912,0.075075517,0.077984,
RNVCVTLRINQCPJ-UHFFFAOYSA-N,4.532,0.13313478,0.050366618,0.050366618,0.13225576,0.0628366,0.0629152,0.11430365,0.13490622,0.14090721,0.04639916,0.03729907,0.03722608,0.03617187,0.05299271,0.05157944,0.041642,0.04101414,0.049595,
ROFVEXUMMXZLPA-UHFFFAOYSA-N,5.617,0.09398801,0.05187181,0.05187181,0.11036424,0.072551236,0.07255261,0.08705664,0.11838907,0.12954503,0.04066212,0.02824085,0.02824163,0.02931951,0.04274938,0.04306345,0.051998,,0.048978,
ROSDSFDQCJNGOL-UHFFFAOYSA-N,8.083,0.14815119,0.066640566,0.066640566,0.08317222,0.06532758,0.065366186,0.023003135,0.12743555,0.15182203,0.0397616,0.03802351,0.0380224,0.03571942,0.05564821,0.05905036,0.070652,0.089224827,0.067028,
ROUYUBHVBIKMQO-UHFFFAOYSA-N,2,,0.016607274,0.016607274,0.03919892,0.013691803,0.0162651,0.032226857,0.037983235,0.03032571,,,,,,,0.018882,0.01806825,0.017809,
RTJGTTXUCVCPIQ-UHFFFAOYSA-N,10.26,0.24222083,,,0.19585137,0.19181135,0.19187164,0.2011058,0.2107105,0.218124,0.06871118,0.06460594,0.06468118,0.07005303,0.07192722,0.07346874,,0.122712837,,
RTZKZFJDLAIYFH-UHFFFAOYSA-N,5.306,0.13396798,0.062914738,0.062914738,0.10972171,0.08416295,0.0840247,0.08808127,0.18295057,0.16526788,0.02912365,0.03416782,0.03416776,0.02344371,0.04664628,0.04315751,0.058148,0.057900611,0.059581,
RUOJZAUFBMNUDX-VKHMYHEASA-N,5.772,0.1843773,0.074715005,0.074715005,0.10807027,0.100250944,0.10021409,0.112220265,0.1406272,0.13694389,0.04029151,0.04238485,0.04238814,0.03651428,0.04541811,0.04155108,0.069504,0.081354958,0.070423,
RVAQSYWDOSHWGP-UHFFFAOYSA-N,7.268,,0.074265781,0.074265781,0.22068445,0.12863483,0.15752068,0.16189307,0.16814272,0.09487775,0.07156534,,0.05594945,0.0472207,,,0.06781,0.081589678,0.070999,
RWCCWEUUXYIKHB-UHFFFAOYSA-N,5.439,0.15640706,0.065101485,0.065101485,0.11080387,0.09539488,0.095811695,0.10080627,0.15062933,0.13812561,0.04798798,0.04194567,0.04193886,0.04096101,0.0522863,0.05064424,0.064341,0.072777454,0.064004,
RWRDLPDLKQPQOW-UHFFFAOYSA-N,8.816,0.1797932,0.076339532,0.076339532,0.08396329,0.06953393,0.069409996,0.047633246,0.120171666,0.14276944,0.03876972,0.04083045,0.04082229,0.03760107,0.05364286,0.05679966,0.070048,0.065258614,0.067314,
RXYPXQSKLGGKOL-UHFFFAOYSA-N,7.239,0.14386536,0.050652508,0.050652508,0.11297975,0.08373392,0.083744206,0.05151774,0.14818332,0.17434208,0.04140268,0.03613058,0.03613055,0.03813523,0.05730482,0.06003802,0.059609,,0.059928,
RYHBNJHYFVUHQT-UHFFFAOYSA-N,4.684,0.099670246,0.061221089,0.061221089,0.088661715,0.08069943,0.080700055,0.07305527,0.13726401,0.12258926,0.02778112,0.03353653,0.03353762,0.02109409,0.03990869,0.03989583,0.054199,0.057659502,0.054529,
RYMBAPVTUHZCNF-UHFFFAOYSA-N,6.372,0.14399047,0.060520118,0.060520118,0.1057679,0.09155319,0.091812685,0.097522736,0.14326511,0.12905987,0.03975638,0.03913974,0.03905206,0.03778319,0.04731301,0.04558152,0.063396,0.064852492,0.061747,
RZXMPPFPUUCRFN-UHFFFAOYSA-N,4.944,0.1395919,0.055896829,0.055896829,0.13263026,0.063585415,0.06358583,0.11412783,0.13303764,0.13907857,0.04708477,0.03880635,0.03880714,0.03749814,0.05157469,0.05202155,0.059363,,0.053016,
SAANJXKHPZBABZ-UHFFFAOYSA-N,7.33,0.17893755,0.074067453,0.074067453,0.12950277,0.12518865,0.125088,0.12141521,0.16682303,0.16385245,0.05484512,0.05688934,0.05689346,0.04249243,0.06073604,0.06763606,0.070833,0.024564938,0.073583,
SBYHFKPVCBCYGV-UHFFFAOYSA-N,9.083,0.11474755,0.063606599,0.063606599,0.07676235,0.07636756,0.076392174,0.03679915,0.117670484,0.1428451,0.04113573,0.04377458,0.04376931,0.04179208,0.05425239,0.05726417,0.068336,,0.067857,
SCYULBFZEHDVBN-UHFFFAOYSA-N,1.462,0.068594985,0.027126963,0.027126963,0.04603589,0.042800434,0.049926415,0.025680847,0.06459475,0.06351941,0.02830665,,0.02826782,0.0179302,,,0.026985,0.02169132,0.024337,
SECXISVLQFMRJM-UHFFFAOYSA-N,8.35,0.2002718,0.081971832,0.081971832,0.13145715,0.11602545,0.11599669,0.12090462,0.18906657,0.18291812,0.04176008,0.04642162,0.04643691,0.03716594,0.05481377,0.0522669,0.078453,0.07847495,0.081345,
SEEYREPSKCQBBF-UHFFFAOYSA-N,5.768,0.1431576,0.05603415,0.05603415,0.085660875,0.08379292,0.08377375,0.085405864,0.118863545,0.11615366,0.02404198,0.03335482,0.03335518,0.02197008,0.02800022,0.02761985,0.053832,0.062210035,0.054643,
SELYJABLPLKXOY-UHFFFAOYSA-N,7.061,0.19022861,0.071795307,0.071795307,0.13657542,0.12925515,0.12921421,0.13425304,0.17307669,0.17137402,0.04079635,0.04815202,0.04815469,0.03822813,0.05172473,0.05077171,0.07055,,0.072636,
SHOJXDKTYKFBRD-UHFFFAOYSA-N,5.761,0.16071254,0.067131064,0.067131064,0.11175625,0.09827443,0.09827493,0.11001415,0.17164995,0.16266273,0.0364823,0.04069377,0.04069398,0.03567736,0.05236715,0.04717736,0.06946,0.087792216,0.070488,
SHQSVMDWKBRBGB-UHFFFAOYSA-N,5.284,0.15743443,0.065912056,0.065912056,0.094595835,0.08483864,0.084838845,0.09275393,0.13978052,0.1341815,0.03250204,0.03715476,0.03715506,0.03026592,0.04101047,0.03819737,0.061875,0.074784931,0.063904,
SJMLNDPIJZBEKY-UHFFFAOYSA-N,3.395,0.11573152,0.054897725,0.054897725,0.091492206,0.08403049,0.07765741,0.10442122,0.117018536,0.11236277,0.03796385,,0.03678847,0.0360126,,,0.052481,0.05997644,0.05325,
SJNALLRHIVGIBI-UHFFFAOYSA-N,4.995,0.15389776,0.066635754,0.066635754,0.07164374,0.05628738,0.056288075,0.06915051,0.09168101,0.102993086,0.02945987,0.02921639,0.02921658,0.04086508,0.03555062,0.03727533,0.07052,0.06532107,0.069749,
SJRJJKPEHAURKC-UHFFFAOYSA-N,6.868,0.117992446,0.066474278,0.066474278,0.10538789,0.08321331,0.08315634,0.08135822,0.16079411,0.1497759,0.03895723,0.03612051,0.0361199,0.0380903,0.05339199,0.05790944,0.058724,,0.059174,
SKBBQSLSGRSQAJ-UHFFFAOYSA-N,5.772,0.15056686,0.060876229,0.060876229,0.09229381,0.08783977,0.08784629,0.093038924,0.13926005,0.1329364,0.02714687,0.03525196,0.03525085,0.02734706,0.03712221,0.03362951,0.058727,,0.059516,
SKECXRFZFFAANN-UHFFFAOYSA-N,5.395,0.14794518,0.053484332,0.053484332,0.085298985,0.08299572,0.06250425,0.09453358,0.17457809,0.15575314,0.03710398,,0.02877197,0.04409766,,,0.061651,0.064400704,0.058101,
SMBILOIZRKUZPE-UHFFFAOYSA-N,8.125,0.20018911,0.080784364,0.080784364,0.13514836,0.13347763,0.13361402,0.13486242,0.17022136,0.17381354,0.05800863,0.05881427,0.0589038,0.05959699,0.06561976,0.06785511,0.080478,0.095500404,0.081512,
SMNMEJQTBGWHLI-UHFFFAOYSA-N,8.461,0.14253771,0.072892746,0.072892746,0.12270852,0.075145036,0.07508788,0.10372164,0.13310024,0.14793663,0.04855776,0.03743835,0.03744688,0.03939014,0.05046598,0.05231648,0.074025,,0.072397,
SMWDFEZZVXVKRB-UHFFFAOYSA-N,7.261,0.12524937,0.062326631,0.062326631,0.11789551,0.07501377,0.07504311,0.09498091,0.12020422,0.13519463,0.03929975,0.03714264,0.03714428,0.03820535,0.04054908,0.0420417,0.068041,0.072214111,0.065942,
SMZHKGXSEAGRTI-UHFFFAOYSA-N,3.062,0.111417,0.047944413,0.047944413,0.07120557,0.060527716,0.054815732,0.084165,0.101626165,0.097694315,0.03298123,,0.03294152,0.03098143,,,0.049023,0.05619072,0.050867,
SNHMUERNLJLMHN-UHFFFAOYSA-N,1.5,,0.027748221,0.027748221,0.14764476,0.07925906,0.08963931,0.09427436,0.10586774,0.12182516,,,,,,,0.020603,0.014960482,0.018837,
SNICXCGAKADSCV-JTQLQIEISA-N,7.699,0.13494673,0.06200468,0.06200468,0.124067806,0.07564402,0.07536323,0.0979913,0.13799797,0.16313986,0.04494219,0.03950806,0.03951357,0.0424826,0.05283896,0.05495246,0.072928,0.079345443,0.071178,
SNZSAFILJOCMFM-UHFFFAOYSA-N,10.81,,0.102818573,0.102818573,0.25997788,0.15114678,0.22046782,0.19627576,0.26152962,0.20777184,0.08572108,,0.07634477,0.0571843,,,0.09231,0.115849174,0.097218,
SQCZQTSHSZLZIQ-UHFFFAOYSA-N,2.218,0.07941082,0.027240504,0.027240504,0.049063373,0.055493414,0.06819185,0.02963919,0.072013214,0.07059375,0.01666891,,0.01849785,0.01280658,,,0.032377,0.030546643,0.029442,
SQNZJJAZBFDUTD-UHFFFAOYSA-N,2.711,0.09676412,0.028569015,0.028569015,0.1351406,0.069844894,0.06989831,0.11244568,0.12611571,0.14077444,0.03714602,0.01976861,0.01976679,0.02915543,0.04547922,0.04610576,0.032197,,0.033474,
SRPCLECGIYMIMN-CSKARUKUSA-N,7.283,0.15179501,0.06709342,0.06709342,0.13569722,0.10834024,0.10828952,0.11201094,0.1527512,0.17528397,0.05793561,0.0461396,0.0462069,0.04711864,0.06240025,0.0626293,0.062297,0.058848386,0.063671,
STSCVKRWJPWALQ-UHFFFAOYSA-N,3.24,0.12382633,0.057589962,0.057589962,0.076207206,0.06568582,0.065632015,0.07843603,0.10477434,0.09720533,0.02777304,0.02558383,0.0255604,0.02533337,0.03374418,0.03063339,0.051459,0.056744331,0.050137,
STZZWJCGRKXEFF-UHFFFAOYSA-N,3.399,0.10651155,0.049150001,0.049150001,0.042221934,0.026973192,0.026835557,0.052614868,0.04534497,0.054649703,0.02323581,,0.01612101,0.03231343,,,0.051608,0.052401717,0.053728,
SUDHEDJJFGYYPL-UHFFFAOYSA-N,7.128,0.18736452,0.073348186,0.073348186,0.1376663,0.13086617,0.13079762,0.13568522,0.17608602,0.17381975,0.0419827,0.04913602,0.04913597,0.03892216,0.05314167,0.05259764,0.071511,0.079156332,0.073632,
SUNMBRGCANLOEG-UHFFFAOYSA-N,4.223,0.12150188,0.059798684,0.059798684,0.086104736,0.0738717,0.0698833,0.089159876,0.12739103,0.11878575,0.03473966,,0.03714346,0.03205691,,,0.058976,0.066678649,0.059743,
SUSQOBVLVYHIEX-UHFFFAOYSA-N,4.802,0.15510863,0.068172732,0.068172732,0.11262835,0.06311272,0.06311154,0.085890405,0.11188186,0.1170965,0.04273194,0.03009544,0.03009802,0.03907638,0.04561863,0.04518317,0.069347,0.068233694,0.067798,
SVEUVITYHIHZQE-UHFFFAOYSA-N,7.75,0.13777873,0.064130972,0.064130972,0.12823868,0.08296041,0.08309594,0.10842149,0.13861036,0.15402561,0.04636946,0.03624824,0.03625128,0.0370383,0.05209271,0.05323535,0.066165,0.065923181,0.064599,
SVYKKECYCPFKGB-UHFFFAOYSA-N,7.825,0.12807909,0.055777352,0.055777352,0.10269266,0.08239206,0.0825118,0.044779122,0.141701,0.17033057,0.04006905,0.03692484,0.03691865,0.03735823,0.05752123,0.05999714,0.062529,0.072010631,0.062429,
SWFHGTMLYIBPPA-UHFFFAOYSA-N,5.884,0.16397211,0.068913838,0.068913838,0.113058746,0.095583946,0.09555333,0.103314795,0.15713128,0.1439217,0.04810082,0.04152516,0.04154072,0.0430499,0.05832556,0.05554151,0.068322,0.078544344,0.067738,
SWIMPUZQSVMCCL-UHFFFAOYSA-N,8.594,0.21013102,0.085616688,0.085616688,0.14314587,0.12270137,0.12277018,0.13194698,0.2047046,0.1944007,0.0578748,0.05032283,0.05032366,0.05104864,0.07633558,0.07247625,0.083603,0.075340689,0.085382,
SXVPOSFURRDKBO-UHFFFAOYSA-N,5.795,0.17343706,0.067761825,0.067761825,0.10782711,0.094016075,0.09394424,0.10464125,0.16232324,0.15693691,0.03138096,0.03754311,0.03753352,0.03036593,0.04521861,0.04062365,0.062863,0.062294034,0.064857,
SYBYTAAJFKOIEJ-UHFFFAOYSA-N,5.634,0.15948908,0.065548629,0.065548629,0.10823804,0.09405432,0.09406002,0.10404682,0.16155085,0.15604644,0.03372702,0.03851048,0.03852822,0.03148812,0.04707478,0.04304868,0.064331,0.070341823,0.066587,
