,Experiment,AIMNET,ATX,ATXclean,MOMOL_AM1,MOMOL_MNDOD,MOMOL_MNDO,MOMOL_PM3,MOMOL_PM6,MOMOL_PM7,MPC_AM1,MPC_MNDOD,MPC_MNDO,MPC_PM3,MPC_PM6,MPC_PM7,NWChem,PySCF,w06-2x+def2-TZVPP,wB97x+def2-TZVPP(partial)
NQRYJNQNLNOLGT-UHFFFAOYSA-N,8.35,0.17008689,0.070401747,0.070401747,0.10251181,0.06683348,0.06685493,0.037864633,0.15579832,0.17835984,0.04131764,0.03877376,0.03877494,0.03852913,0.05914346,0.06159931,0.068346,,0.065519,
NRGGMCIBEHEAIL-UHFFFAOYSA-N,7.372,0.1297957,0.0604289,0.0604289,0.12458506,0.07542514,0.0754669,0.098822705,0.13108796,0.1420702,0.03443595,0.04036873,0.04037017,0.04086417,0.04459336,0.04609698,0.070105,0.046362957,0.069215,
NSWLMOHUXYULKL-UHFFFAOYSA-N,6.983,0.17181121,0.073986384,0.073986384,0.12469271,0.09831565,0.09608887,0.12099016,0.1743615,0.16893008,0.04214373,,0.04029628,0.03530439,,,0.069496,0.086068893,0.073508,
NTIZESTWPVYFNL-UHFFFAOYSA-N,5.661,0.16341273,0.064202694,0.064202694,0.10745136,0.09476516,0.09481535,0.10520104,0.16118519,0.15513752,0.0341783,0.03938597,0.03938311,0.03199019,0.04800716,0.04446464,0.064894,,0.067467,
NTPLXRHDUXRPNE-UHFFFAOYSA-N,6.017,0.16411595,0.070340686,0.070340686,0.10647909,0.10157694,0.10157817,0.10588442,0.16135702,0.15196073,0.03370311,0.04139626,0.04139528,0.03341139,0.0472031,0.04229644,0.069062,,0.069392,
NUJGJRNETVAIRJ-UHFFFAOYSA-N,4.635,0.1492944,0.057741716,0.057741716,0.100848004,0.089762084,0.08981926,0.0991778,0.15268844,0.1473013,0.03288151,0.03791854,0.03792459,0.03158933,0.04388183,0.04043529,0.061911,0.065700561,0.063836,
NUKYPUAOHBNCPY-UHFFFAOYSA-N,8.75,0.15376937,0.068731831,0.068731831,0.12325555,0.0808061,0.08082417,0.10679993,0.13100015,0.14118862,0.03841684,0.040433,0.04042361,0.04355779,0.05024715,0.05175341,0.08153,,0.079701,
NUMQCACRALPSHD-UHFFFAOYSA-N,5.461,0.14783356,0.066286309,0.066286309,0.1117941,0.08907899,0.08909157,0.0897331,0.18525335,0.16907385,0.03028177,0.03548301,0.03548277,0.02376546,0.04759845,0.04328555,0.059404,0.064071523,0.060612,
NUOGEPIJFRZXIN-UHFFFAOYSA-N,7.816,0.1899139,0.075632452,0.075632452,0.1257348,0.11181593,0.112002015,0.11857301,0.18172838,0.1740268,0.04919958,0.04520286,0.04514679,0.04448572,0.06398553,0.06071306,0.073338,0.07079318,0.074907,
NURQLCJSMXZBPC-UHFFFAOYSA-N,8.039,0.13564475,0.065456022,0.065456022,0.1251751,0.07044025,0.0703608,0.10129386,0.13000642,0.14138567,0.03483659,0.0392103,0.0392128,0.0424906,0.04844614,0.04987971,0.074727,0.074302046,0.073898,
NVJBFARDFTXOTO-UHFFFAOYSA-N,4.897,0.17383151,0.086394097,,0.21062873,0.21003325,0.2117665,0.20060953,0.18792838,0.21857277,0.05339965,,0.06344865,0.04893239,,,0.060788,0.07207651,0.064299,
