,Experiment,NWChem,AIMNET,ATX,ATXclean,MOMOL_AM1,MOMOL_MNDOD,MOMOL_MNDO,MOMOL_PM3,MOMOL_PM6,MOMOL_PM7,MPC_AM1,MPC_MNDOD,MPC_MNDO,MPC_PM3,MPC_PM6,MPC_PM7,w06-2x+def2-TZVPP
OCVLSHAVSIYKLI-UHFFFAOYSA-N,4.3,0.100882,0.175976100,0.078189793,0.078189793,0.097108720,0.078115450,0.069503530,0.102327460,0.142288500,0.134169860,0.039397290,,0.034787450,0.042011220,,,0.103076000
ODAJDDMWMREWGL-UHFFFAOYSA-N,4.1,0.110978,0.185507540,0.095200951,0.095200951,0.110583900,0.115363780,0.115315890,0.104267225,0.147262960,0.151075270,0.038325720,0.042618840,0.042621020,0.036300120,0.047465100,0.047499420,0.119317000
ODFFPRGJZRXNHZ-UHFFFAOYSA-N,3.3,0.095028,0.162225710,0.077145771,0.077145771,0.116644240,0.096951310,0.096999700,0.104917550,0.126654060,0.133689690,0.045377910,0.041243390,0.041245580,0.043421570,0.048855730,0.051232920,0.101804000
ODSXJQYJADZFJX-UHFFFAOYSA-N,4.7,0.122223,0.209504600,0.105279717,0.105279717,0.131113020,0.121636090,0.121656680,0.118140280,0.166338040,0.172449510,0.048756090,0.053812810,0.053814440,0.046384230,0.055975100,0.056182950,0.127133000
OGRAOKJKVGDSFR-UHFFFAOYSA-N,3.5,0.098292,0.165444940,0.090074860,0.090074860,0.075194610,0.068727836,0.068743750,0.071009410,0.102780210,0.106881950,0.029146580,0.031845550,0.031848170,0.027389100,0.033436400,0.033474260,0.100231000
OHLUUHNLEMFGTQ-UHFFFAOYSA-N,2.9,0.083279,0.159213780,0.074763996,0.074763996,0.087296440,0.066529480,0.066510060,0.064648180,0.104685100,0.109779890,0.037293650,0.033554460,0.033550920,0.029641590,0.041750140,0.042540370,0.089035000
OKKJLVBELUTLKV-UHFFFAOYSA-N,2.9,0.084171,0.144440230,0.080021501,0.080021501,0.055333182,0.055833682,0.055836870,0.055794463,0.081484646,0.084928540,0.021378330,0.027042740,0.027044650,0.020885600,0.025214270,0.024844620,0.086967000
OLBCVFGFOZPWHH-UHFFFAOYSA-N,2.8,0.089798,0.158819880,0.091718511,0.091718511,0.069882710,0.056139990,0.056376400,0.070822830,0.107608320,0.109493810,0.023752950,0.025613760,0.025787500,0.024065550,0.031780640,0.032818460,0.092514000
OSASVXMJTNOKOY-UHFFFAOYSA-N,3,0.087017,0.145357680,0.086272465,0.086272465,0.063816030,0.073271220,0.074021090,0.052629050,0.100975750,0.103220000,0.019776140,,0.028733390,0.017560210,,,0.087063000
OWIKHYCFFJSOEH-UHFFFAOYSA-N,,0.101268,0.156576500,0.066502871,0.066502871,0.117331580,0.082973400,0.082919420,0.074501850,0.138868990,0.146887840,0.045024110,0.038193380,0.038195340,0.037936980,0.050974530,0.051563080,0.108912000
